lga_name_lower	number_facilities
alpine	67
ararat	73
ballarat	199
banyule	152
bass coast	92
baw baw	158
bayside	148
bayside city council	1
benalla	44
boroondara	186
brimbank	146
buloke	83
campaspe	150
cardinia	148
casey	230
central goldfields	70
colac otway	105
corangamite	108
darebin	126
east gippsland	159
frankston	148
gannawarra	85
glen eira	128
glenelg	109
golden plains	109
greater bendigo	238
greater dandenong	121
greater geelong	357
greater shepparton	175
hepburn	65
hindmarsh	49
hobsons bay	137
horsham	87
hume	175
indigo	57
kingston	175
knox	222
lake mountain alpine resort (uninc)	1
latrobe	168
loddon	75
macedon ranges	121
manningham	130
mansfield	35
maribyrnong	103
maroondah	127
melbourne	134
melbourne city council	1
melton	111
mildura	117
mitchell	97
moira	121
moira shire council	1
monash	167
moonee valley	128
moorabool	69
moreland	130
mornington peninsula	222
mornington peninsula shire council	1
mount alexander	89
mount baw baw alpine resort (uninc)	1
mount buller alpine resort (uninc)	2
moyne	74
murrindindi	80
nillumbik	95
northern grampians	65
northern grampians shire council	1
port phillip	76
port phillip city council	1
pyrenees	47
queenscliffe	13
south gippsland	141
south gippsland shire council	1
southern grampians	89
stonnington	114
strathbogie	55
surf coast	129
surf coast shire council	1
swan hill	79
towong	37
wangaratta	117
warrnambool	97
wellington	165
west wimmera	49
whitehorse	154
whittlesea	137
wodonga	62
wyndham	146
yarra	133
yarra ranges	198
yarriambiack	82
